,title,runtime_1,runtime_2,video_id,gold,silver
201704,--- Day 4: High-Entropy Passphrases ---,0.0006117820739746,0.0028300285339355,,31918,3536
201705,"--- Day 5: A Maze of Twisty Trampolines, All Alike ---",0.2041027545928955,16.923382997512817,,29591,1633
201706,--- Day 6: Memory Reallocation ---,0.02055025100708,0.0199999809265136,,26088,1174
201707,--- Day 7: Recursive Circus ---,0.0020322799682617,0.0090270042419433,,19292,5459
201708,--- Day 8: I Heard You Like Registers ---,0.0021841526031494,0.0016748905181884,,21010,574
201709,--- Day 9: Stream Processing ---,0.0008742809295654,0.0010590553283691,,18473,485
201710,--- Day 10: Knot Hash ---,0.0003280639648437,0.027397871017456,,15497,1613
201711,--- Day 11: Hex Ed ---,0.0012259483337402,0.0049049854278564,,15338,553
201712,--- Day 12: Digital Plumber ---,0.0035319328308105,0.0052058696746826,,15107,592
201713,--- Day 13: Packet Scanners ---,0.0001611709594726,1.0745289325714111,,13423,1170
201714,--- Day 14: Disk Defragmentation ---,,,,11516,776
201715,--- Day 15: Dueling Generators ---,,,,12810,326
201716,--- Day 16: Permutation Promenade ---,,,,11900,1031
201717,--- Day 17: Spinlock ---,,,,11472,650
201718,--- Day 18: Duet ---,,,,9782,1772
201719,--- Day 19: A Series of Tubes ---,,,,10414,129
201720,--- Day 20: Particle Swarm ---,,,,9388,648
201721,--- Day 21: Fractal Art ---,,,,7944,98
201722,--- Day 22: Sporifica Virus ---,,,,8318,156
201723,--- Day 23: Coprocessor Conflagration ---,,,,7428,1098
201724,--- Day 24: Electromagnetic Moat ---,,,,7559,89
201725,--- Day 25: The Halting Problem ---,,,,6784,1177
201801,--- Day 1: Chronal Calibration ---,0.0002248287200927,0.0196650028228759,,76466,21136
201802,--- Day 2: Inventory Management System ---,0.001572847366333,0.0269632339477539,,60175,7171
201803,--- Day 3: No Matter How You Slice It ---,0.7193698883056641,0.5193741321563721,,46356,2565
201804,--- Day 4: Repose Record ---,0.02077317237854,0.0109901428222656,,34005,1213
201805,--- Day 5: Alchemical Reduction ---,0.0073459148406982,0.2415659427642822,,34687,1370
201806,--- Day 6: Chronal Coordinates ---,1.6012721061706543,1.689199924468994,,24204,1068
201807,--- Day 7: The Sum of Its Parts ---,0.0001990795135498,0.0011019706726074,,20190,4399
201808,--- Day 8: Memory Maneuver ---,0.0937161445617675,0.0904541015625,,19758,1104
201809,--- Day 9: Marble Mania ---,0.0114510059356689,1.168558120727539,,17283,1238
201810,--- Day 10: The Stars Align ---,0.7296230792999268,0.6994609832763672,,17728,81
201811,--- Day 11: Chronal Charge ---,0.3543570041656494,0.2153379917144775,,16495,1163
201812,--- Day 12: Subterranean Sustainability ---,0.0026021003723144,0.0653209686279296,,13972,1471
201813,--- Day 13: Mine Cart Madness ---,,,,12135,806
201814,--- Day 14: Chocolate Charts ---,,,,12319,731
201815,--- Day 15: Beverage Bandits ---,,,,7299,336
201816,--- Day 16: Chronal Classification ---,,,,9558,343
201817,--- Day 17: Reservoir Research ---,,,,6978,40
201818,--- Day 18: Settlers of The North Pole ---,,,,8448,507
201819,--- Day 19: Go With The Flow ---,,,,6602,1100
201820,--- Day 20: A Regular Map ---,,,,5840,168
201821,--- Day 21: Chronal Conversion ---,,,,5317,284
201822,--- Day 22: Mode Maze ---,,,,5187,1240
201823,--- Day 23: Experimental Emergency Teleportation ---,,,,4679,2388
201824,--- Day 24: Immune System Simulator 20XX ---,,,,4675,113
201825,--- Day 25: Four-Dimensional Adventure ---,,,,3988,1775
201901,--- Day 1: The Tyranny of the Rocket Equation ---,6.389617919921875e-05,0.0002708435058593,,110106,15416
201902,--- Day 2: 1202 Program Alarm ---,5.602836608886719e-05,0.0517129898071289,,82789,9027
201903,--- Day 3: Crossed Wires ---,0.2099230289459228,0.1941540241241455,,53268,7438
201904,--- Day 4: Secure Container ---,0.7796881198883057,0.807819128036499,,55592,4756
201905,--- Day 5: Sunny with a Chance of Asteroids ---,0.00018310546875,0.0002429485321044,,39134,1839
201906,--- Day 6: Universal Orbit Map ---,0.1474900245666504,0.0029640197753906,,36002,2084
201907,--- Day 7: Amplification Circuit ---,0.0031399726867675,0.0124993324279785,,25143,6087
201908,--- Day 8: Space Image Format ---,0.0001242160797119,0.0018413066864013,,30363,1234
201909,--- Day 9: Sensor Boost ---,0.000540018081665,0.5810267925262451,,23447,111
201910,--- Day 10: Monitoring Station ---,0.6872200965881348,0.6753721237182617,,19284,3360
201911,--- Day 11: Space Police ---,,,,17855,212
201912,--- Day 12: The N-Body Problem ---,,,,15977,3837
201913,--- Day 13: Care Package ---,,,,14918,1879
201914,--- Day 14: Space Stoichiometry ---,,,,12613,978
201915,--- Day 15: Oxygen System ---,,,,11017,391
201916,--- Day 16: Flawed Frequency Transmission ---,,,,9491,3887
201917,--- Day 17: Set and Forget ---,,,,8886,2008
201918,--- Day 18: Many-Worlds Interpretation ---,,,,5651,763
201919,--- Day 19: Tractor Beam ---,,,,7613,768
201920,--- Day 20: Donut Maze ---,,,,5855,803
201921,--- Day 21: Springdroid Adventure ---,,,,5949,364
201922,--- Day 22: Slam Shuffle ---,,,,4963,2818
201923,--- Day 23: Category Six ---,,,,5744,163
201924,--- Day 24: Planet of Discord ---,,,,5494,1470
201925,--- Day 25: Cryostasis ---,,,,4131,1141
202001,--- Day 1: Report Repair ---,0.0009469985961914,0.0614190101623535,,179984,14797
202002,--- Day 2: Password Philosophy ---,0.0009949207305908,0.001054048538208,,150666,5778
202003,--- Day 3: Toboggan Trajectory ---,5.817413330078125e-05,0.0002059936523437,,124844,4778
202004,--- Day 4: Passport Processing ---,0.0004630088806152,0.0015108585357666,,102040,13989
202005,--- Day 5: Binary Boarding ---,0.001162052154541,0.0012242794036865,,97196,2433
202006,--- Day 6: Custom Customs ---,0.0014519691467285,0.0041630268096923,,91112,3237
202007,--- Day 7: Handy Haversacks ---,0.1038031578063964,0.0034399032592773,,69333,7069
202008,--- Day 8: Handheld Halting ---,0.0016629695892333,0.1765248775482177,,69818,5933
202009,--- Day 9: Encoding Error ---,0.0030598640441894,0.1421880722045898,,67876,1806
202010,--- Day 10: Adapter Array ---,4.7206878662109375e-05,0.0001258850097656,,53612,12194
202011,--- Day 11: Seating System ---,0.3386690616607666,0.5037319660186768,,48874,5385
202012,--- Day 12: Rain Risk ---,0.0004160404205322,0.0003280639648437,,47880,4005
202013,--- Day 13: Shuttle Search ---,3.1948089599609375e-05,0.0001008510589599,,38569,11431
202014,--- Day 14: Docking Data ---,0.0029909610748291,0.0922539234161377,,37343,4352
202015,--- Day 15: Rambunctious Recitation ---,0.0002460479736328,8.836797952651978,,38354,2101
202016,--- Day 16: Ticket Translation ---,,,,33066,4523
202017,--- Day 17: Conway Cubes ---,,,,29513,842
202018,--- Day 18: Operation Order ---,,,,28563,1961
202019,--- Day 19: Monster Messages ---,,,,21074,3731
202020,--- Day 20: Jurassic Jigsaw ---,,,,16389,5034
202021,--- Day 21: Allergen Assessment ---,,,,19521,256
202022,--- Day 22: Crab Combat ---,,,,18831,3499
202023,--- Day 23: Crab Cups ---,,,,16756,2538
202024,--- Day 24: Lobby Layout ---,,,,17546,1049
202025,--- Day 25: Combo Breaker ---,,,,14227,4609
202101,--- Day 1: Sonar Sweep ---,0.0005879402160644,0.0017998218536376,,223497,29452
202102,--- Day 2: Dive! ---,0.0005528926849365,0.000558853149414,,199316,8272
202103,--- Day 3: Binary Diagnostic ---,0.0026378631591796,0.0005362033843994,,140921,39747
202104,--- Day 4: Giant Squid ---,0.0145747661590576,0.0151906013488769,,109212,6784
202105,--- Day 5: Hydrothermal Venture ---,0.1063487529754638,0.1587100028991699,,96065,4977
202106,--- Day 6: Lanternfish ---,0.0002291202545166,0.0005650520324707,,94447,7388
202107,--- Day 7: The Treachery of Whales ---,0.0239779949188232,0.0680880546569824,,92943,2574
202108,--- Day 8: Seven Segment Search ---,0.0002157688140869,0.002274751663208,,72349,12810
202109,--- Day 9: Smoke Basin ---,0.0182330608367919,4.465044021606445,,67751,10980
202110,--- Day 10: Syntax Scoring ---,0.0007238388061523,0.0005922317504882,,69053,1978
202111,--- Day 11: Dumbo Octopus ---,0.0053660869598388,0.0124318599700927,,62013,375
202112,--- Day 12: Passage Pathing ---,0.007922887802124,0.3509960174560547,,52398,2167
202113,--- Day 13: Transparent Origami ---,0.0967931747436523,0.1158149242401123,,54543,951
202114,--- Day 14: Extended Polymerization ---,0.0072500705718994,0.0015931129455566,,48445,7320
202115,--- Day 15: Chiton ---,0.0364439487457275,1.291985034942627,,40781,3695
202116,--- Day 16: Packet Decoder ---,,,,34645,1750
202117,--- Day 17: Trick Shot ---,,,,34653,1524
202118,--- Day 18: Snailfish ---,,,,26622,184
202119,--- Day 19: Beacon Scanner ---,,,,17939,266
202120,--- Day 20: Trench Map ---,,,,24063,386
202121,--- Day 21: Dirac Dice ---,,,,21027,6625
202122,--- Day 22: Reactor Reboot ---,,,,16788,6156
202123,--- Day 23: Amphipod ---,,,,14284,2193
202124,--- Day 24: Arithmetic Logic Unit ---,,,,13824,136
202125,--- Day 25: Sea Cucumber ---,,,,11986,6247
202201,--- Day 1: Calorie Counting ---,0.0003960132598876,0.000399112701416,,280659,15037
202202,--- Day 2: Rock Paper Scissors ---,0.0008418560028076,0.0013120174407958,,232621,12383
202203,--- Day 3: Rucksack Reorganization ---,0.0002989768981933,0.0001509189605712,,199898,11388
202204,--- Day 4: Camp Cleanup ---,0.0021710395812988,0.0025038719177246,,184329,3731
202205,--- Day 5: Supply Stacks ---,0.0009689331054687,0.0009968280792236,,157289,3110
202206,--- Day 6: Tuning Trouble ---,0.0003149509429931,0.0044219493865966,,155807,1598
202207,--- Day 7: No Space Left On Device ---,0.0011210441589355,0.0009782314300537,,113168,2591
202208,--- Day 8: Treetop Tree House ---,0.0080950260162353,0.0245318412780761,,107142,7649
202209,--- Day 9: Rope Bridge ---,0.0280060768127441,0.1246790885925293,,82359,11434
202210,--- Day 10: Cathode-Ray Tube ---,0.0003771781921386,0.0001852512359619,,85008,5505
202211,--- Day 11: Monkey in the Middle ---,0.0006301403045654,0.3626708984375,,68784,9254
202212,--- Day 12: Hill Climbing Algorithm ---,0.0078601837158203,3.15799880027771,,59204,1060
202213,--- Day 13: Distress Signal ---,0.0182600021362304,0.0258407592773437,,51470,1220
202214,--- Day 14: Regolith Reservoir ---,0.020796775817871,0.5518910884857178,,49000,991
202215,--- Day 15: Beacon Exclusion Zone ---,1.0049309730529783,45.90460395812988,,39628,5774
202216,--- Day 16: Proboscidea Volcanium ---,0.3886067867279053,1.5324161052703855,,23252,5648
202217,--- Day 17: Pyroclastic Flow ---,1.5409150123596191,1.37737774848938,,21485,6236
202218,--- Day 18: Boiling Boulders ---,0.4336650371551513,1.5407061576843262,,25376,4923
202219,--- Day 19: Not Enough Minerals ---,15.538229942321776,71.31484007835388,,17482,927
202220,--- Day 20: Grove Positioning System ---,0.6475191116333008,7.812921762466431,,22102,1006
202221,--- Day 21: Monkey Math ---,0.0018112659454345,0.0095400810241699,,22989,3055
202222,--- Day 22: Monkey Map ---,,,,15363,5083
202223,--- Day 23: Unstable Diffusion ---,,,,18499,253
202224,--- Day 24: Blizzard Basin ---,,,,16383,250
202225,--- Day 25: Full of Hot Air ---,,,,13162,7463
202301,--- Day 1: Trebuchet?! ---,0.0013318061828613,0.0036847591400146,JCPRb_rP1Kc,229287,73279
202302,--- Day 2: Cube Conundrum ---,0.0004129409790039,0.0007648468017578,LK-5wofqAA8,195097,9168
202303,--- Day 3: Gear Ratios ---,0.0060210227966308,0.0047543048858642,Po1Nsnb-qAo,129555,19708
202304,--- Day 4: Scratchcards ---,0.0019042491912841,0.0019211769104003,NVLLDlOyrj4,129390,17531
202305,--- Day 5: If You Give A Seed A Fertilizer ---,0.0038800239562988,0.0095109939575195,EGQgUYx-2gE,79658,30816
202306,--- Day 6: Wait For It ---,5.197525024414063e-05,3.0040740966796875e-05,Od0aBz4WDls,102563,1874
202307,--- Day 7: Camel Cards ---,0.0365030765533447,0.0467016696929931,ZZIsVVJTyBk,81248,7238
202308,--- Day 8: Haunted Wasteland ---,0.002554178237915,0.013273000717163,vwlmeHYlSd8,73414,14561
202309,--- Day 9: Mirage Maintenance ---,0.0057621002197265,0.0063700675964355,,75750,1194
202310,--- Day 10: Pipe Maze ---,0.0293710231781005,0.2018229961395263,,47832,16870
202311,--- Day 11: Cosmic Expansion ---,0.0184032917022705,0.5309250354766846,,56793,2351
202312,--- Day 12: Hot Springs ---,0.0168631076812744,0.2670457363128662,,30565,14377
202313,--- Day 13: Point of Incidence ---,0.0115079879760742,0.0139436721801757,,37790,5175
202314,--- Day 14: Parabolic Reflector Dish ---,0.0014348030090332,0.5711784362792969,,36043,7391
202315,--- Day 15: Lens Library ---,0.0024118423461914,0.0050239562988281,,40387,4121
202316,--- Day 16: The Floor Will Be Lava ---,0.0164899826049804,3.194667100906372,,34873,1017
202317,--- Day 17: Clumsy Crucible ---,0.6644730567932129,3.7791149616241455,,23530,1095
202318,--- Day 18: Lavaduct Lagoon ---,0.0346758365631103,0.0010609626770019,,24288,4971
202319,--- Day 19: Aplenty ---,0.0029249191284179,0.003385305404663,,22035,7162
202320,--- Day 20: Pulse Propagation ---,0.0268490314483642,0.1153979301452636,,17821,4348
202321,--- Day 21: Step Counter ---,0.0140762329101562,0.2630560398101806,,13882,10073
202322,--- Day 22: Sand Slabs ---,0.554192066192627,1.0263118743896484,,15386,982
202323,--- Day 23: A Long Walk ---,0.064626932144165,19.99707579612732,,14105,2962
202324,--- Day 24: Never Tell Me The Odds ---,0.0401630401611328,0.5773670673370361,,11355,4887
202325,--- Day 25: Snowverload ---,0.2831850051879883,,,10049,3036
202401,--- Day 1: Historian Hysteria ---,0.0001,0.0001,,0,0
202402,--- Day 2: Red-Nosed Reports ---,0.0001,0.0001,,0,0
202403,--- Day 3: Mull It Over ---,0.0001,0.0001,,0,0
202404,--- Day 4: Ceres Search ---,0.0001,0.0001,,0,0
202405,--- Day 5: Print Queue ---,0.0001,0.0001,,0,0
202406,--- Day 6: Guard Gallivant ---,0.0001,0.0001,,0,0
202407,--- Day 7: Bridge Repair ---,0.0001,0.0001,,0,0
202408,--- Day 8: Resonant Collinearity ---,0.0001,0.0001,,0,0
202409,--- Day 9: Disk Fragmenter ---,0.0001,0.0001,,0,0
202410,--- Day 10: Hoof It ---,0.0001,0.0001,,0,0
202411,--- Day 11: Plutonian Pebbles ---,0.0001,0.0001,,0,0
202412,--- Day 12: Garden Groups ---,0.0001,0.0001,,0,0
202413,--- Day 13: Claw Contraption ---,0.0001,0.0001,,0,0
202414,--- Day 14: Restroom Redoubt ---,0.0001,0.0001,,0,0
202415,--- Day 15: Warehouse Woes ---,0.0001,0.0001,,0,0
202416,--- Day 16: Reindeer Maze ---,0.0001,0.0001,,0,0
202417,--- Day 17: Chronospatial Computer ---,0.0001,0.0001,,0,0
202418,--- Day 18: RAM Run ---,0.0001,0.0001,,0,0
202419,--- Day 19: Linen Layout ---,0.0001,0.0001,,0,0
